Week,Fullmetal Alchemist Interest Time
12/27/2015,99
1/3/2016,93
1/10/2016,79
1/17/2016,91
1/24/2016,89
1/31/2016,93
2/7/2016,89
2/14/2016,86
2/21/2016,93
2/28/2016,88
3/6/2016,87
3/13/2016,83
3/20/2016,93
3/27/2016,90
4/3/2016,86
4/10/2016,75
4/17/2016,76
4/24/2016,77
5/1/2016,82
5/8/2016,82
5/15/2016,98
5/22/2016,100
5/29/2016,98
6/5/2016,97
6/12/2016,91
6/19/2016,92
6/26/2016,95
7/3/2016,99
7/10/2016,72
7/17/2016,77
7/24/2016,75
7/31/2016,72
8/7/2016,64
8/14/2016,53
8/21/2016,58
8/28/2016,60
9/4/2016,62
9/11/2016,52
9/18/2016,58
9/25/2016,52
10/2/2016,68
10/9/2016,63
10/16/2016,58
10/23/2016,50
10/30/2016,46
11/6/2016,28
11/13/2016,35
11/20/2016,36
11/27/2016,32
12/4/2016,30
12/11/2016,34
12/18/2016,35
12/25/2016,36
1/1/2017,32
1/8/2017,32
1/15/2017,32
1/22/2017,32
1/29/2017,33
2/5/2017,33
2/12/2017,33
2/19/2017,36
2/26/2017,34
3/5/2017,36
3/12/2017,34
3/19/2017,32
3/26/2017,36
4/2/2017,39
4/9/2017,38
4/16/2017,34
4/23/2017,35
4/30/2017,35
5/7/2017,33
5/14/2017,28
5/21/2017,29
5/28/2017,32
6/4/2017,33
6/11/2017,32
6/18/2017,37
6/25/2017,32
7/2/2017,32
7/9/2017,39
7/16/2017,36
7/23/2017,36
7/30/2017,37
8/6/2017,38
8/13/2017,32
8/20/2017,32
8/27/2017,32
9/3/2017,34
9/10/2017,34
9/17/2017,33
9/24/2017,35
10/1/2017,31
10/8/2017,33
10/15/2017,33
10/22/2017,34
10/29/2017,30
11/5/2017,28
11/12/2017,30
11/19/2017,30
11/26/2017,27
12/3/2017,30
12/10/2017,31
12/17/2017,34
12/24/2017,39
12/31/2017,69
1/7/2018,89
1/14/2018,87
1/21/2018,79
1/28/2018,67
2/4/2018,55
2/11/2018,56
2/18/2018,80
2/25/2018,84
3/4/2018,65
3/11/2018,58
3/18/2018,57
3/25/2018,54
4/1/2018,49
4/8/2018,44
4/15/2018,39
4/22/2018,34
4/29/2018,32
5/6/2018,35
5/13/2018,35
5/20/2018,35
5/27/2018,38
6/3/2018,34
6/10/2018,35
6/17/2018,35
6/24/2018,37
7/1/2018,39
7/8/2018,38
7/15/2018,40
7/22/2018,37
7/29/2018,38
8/5/2018,38
8/12/2018,34
8/19/2018,28
8/26/2018,34
9/2/2018,37
9/9/2018,29
9/16/2018,28
9/23/2018,34
9/30/2018,31
10/7/2018,26
10/14/2018,29
10/21/2018,31
10/28/2018,27
11/4/2018,28
11/11/2018,28
11/18/2018,30
11/25/2018,29
12/2/2018,28
12/9/2018,27
12/16/2018,31
12/23/2018,30
12/30/2018,34
1/6/2019,32
1/13/2019,32
1/20/2019,30
1/27/2019,28
2/3/2019,28
2/10/2019,32
2/17/2019,36
2/24/2019,32
3/3/2019,29
3/10/2019,30
3/17/2019,30
3/24/2019,30
3/31/2019,29
4/7/2019,31
4/14/2019,29
4/21/2019,30
4/28/2019,27
5/5/2019,31
5/12/2019,31
5/19/2019,36
5/26/2019,51
6/2/2019,45
6/9/2019,41
6/16/2019,36
6/23/2019,38
6/30/2019,46
7/7/2019,40
7/14/2019,40
7/21/2019,42
7/28/2019,43
8/4/2019,40
8/11/2019,40
8/18/2019,39
8/25/2019,37
9/1/2019,37
9/8/2019,35
9/15/2019,31
9/22/2019,35
9/29/2019,39
10/6/2019,34
10/13/2019,31
10/20/2019,35
10/27/2019,32
11/3/2019,37
11/10/2019,31
11/17/2019,30
11/24/2019,35
12/1/2019,29
12/8/2019,32
12/15/2019,35
12/22/2019,41
12/29/2019,39
1/5/2020,36
1/12/2020,41
1/19/2020,42
1/26/2020,42
2/2/2020,39
2/9/2020,39
2/16/2020,45
2/23/2020,37
3/1/2020,41
3/8/2020,45
3/15/2020,48
3/22/2020,56
3/29/2020,55
4/5/2020,63
4/12/2020,63
4/19/2020,60
4/26/2020,69
5/3/2020,65
5/10/2020,65
5/17/2020,67
5/24/2020,64
5/31/2020,69
6/7/2020,73
6/14/2020,64
6/21/2020,70
6/28/2020,77
7/5/2020,79
7/12/2020,76
7/19/2020,77
7/26/2020,69
8/2/2020,62
8/9/2020,69
8/16/2020,73
8/23/2020,67
8/30/2020,66
9/6/2020,67
9/13/2020,67
9/20/2020,74
9/27/2020,73
10/4/2020,66
10/11/2020,61
10/18/2020,65
10/25/2020,66
11/1/2020,54
11/8/2020,61
11/15/2020,65
11/22/2020,63
11/29/2020,63
12/6/2020,61
12/13/2020,59
12/20/2020,70
12/27/2020,73
1/3/2021,74
1/10/2021,70
