Month,My Hero Academia Interest Over Time
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,<1
2004-07,0
2004-08,0
2004-09,1
2004-10,0
2004-11,0
2004-12,<1
2005-01,<1
2005-02,2
2005-03,2
2005-04,1
2005-05,<1
2005-06,1
2005-07,<1
2005-08,1
2005-09,<1
2005-10,1
2005-11,<1
2005-12,<1
2006-01,<1
2006-02,<1
2006-03,<1
2006-04,<1
2006-05,<1
2006-06,<1
2006-07,<1
2006-08,<1
2006-09,<1
2006-10,<1
2006-11,<1
2006-12,<1
2007-01,<1
2007-02,<1
2007-03,<1
2007-04,<1
2007-05,<1
2007-06,<1
2007-07,<1
2007-08,<1
2007-09,<1
2007-10,<1
2007-11,<1
2007-12,<1
2008-01,<1
2008-02,<1
2008-03,<1
2008-04,<1
2008-05,<1
2008-06,<1
2008-07,<1
2008-08,<1
2008-09,<1
2008-10,<1
2008-11,<1
2008-12,<1
2009-01,<1
2009-02,<1
2009-03,<1
2009-04,<1
2009-05,<1
2009-06,<1
2009-07,<1
2009-08,<1
2009-09,<1
2009-10,<1
2009-11,<1
2009-12,<1
2010-01,1
2010-02,1
2010-03,1
2010-04,1
2010-05,<1
2010-06,<1
2010-07,<1
2010-08,<1
2010-09,<1
2010-10,<1
2010-11,<1
2010-12,<1
2011-01,<1
2011-02,<1
2011-03,<1
2011-04,<1
2011-05,<1
2011-06,<1
2011-07,<1
2011-08,<1
2011-09,<1
2011-10,<1
2011-11,<1
2011-12,<1
2012-01,<1
2012-02,<1
2012-03,<1
2012-04,<1
2012-05,<1
2012-06,<1
2012-07,<1
2012-08,<1
2012-09,<1
2012-10,<1
2012-11,<1
2012-12,<1
2013-01,<1
2013-02,<1
2013-03,<1
2013-04,<1
2013-05,<1
2013-06,<1
2013-07,<1
2013-08,<1
2013-09,<1
2013-10,<1
2013-11,<1
2013-12,<1
2014-01,<1
2014-02,<1
2014-03,<1
2014-04,<1
2014-05,<1
2014-06,<1
2014-07,<1
2014-08,<1
2014-09,<1
2014-10,<1
2014-11,2
2014-12,2
2015-01,1
2015-02,1
2015-03,1
2015-04,1
2015-05,1
2015-06,1
2015-07,1
2015-08,1
2015-09,1
2015-10,1
2015-11,1
2015-12,1
2016-01,1
2016-02,1
2016-03,2
2016-04,8
2016-05,11
2016-06,12
2016-07,8
2016-08,5
2016-09,4
2016-10,4
2016-11,4
2016-12,4
2017-01,4
2017-02,4
2017-03,6
2017-04,16
2017-05,17
2017-06,24
2017-07,31
2017-08,28
2017-09,26
2017-10,22
2017-11,15
2017-12,17
2018-01,17
2018-02,16
2018-03,19
2018-04,42
2018-05,45
2018-06,56
2018-07,69
2018-08,62
2018-09,64
2018-10,52
2018-11,39
2018-12,39
2019-01,43
2019-02,44
2019-03,43
2019-04,43
2019-05,44
2019-06,46
2019-07,50
2019-08,48
2019-09,47
2019-10,62
2019-11,53
2019-12,57
2020-01,65
2020-02,77
2020-03,84
2020-04,77
2020-05,67
2020-06,74
2020-07,83
2020-08,88
2020-09,86
2020-10,83
2020-11,86
2020-12,100
2021-01,97
2021-02,89
2021-03,99
2021-04,98
2021-05,87
2021-06,93
2021-07,82
2021-08,69
2021-09,50
2021-10,40
2021-11,48
2021-12,38
2022-01,30
2022-02,31
2022-03,32
2022-04,34
2022-05,31
2022-06,34
2022-07,38
2022-08,45
2022-09,33
2022-10,42
2022-11,36
2022-12,46
2023-01,46
2023-02,41
2023-03,51
2023-04,42
2023-05,40
2023-06,34
2023-07,38
2023-08,33
2023-09,32
2023-10,33
2023-11,30
2023-12,29
2024-01,25
2024-02,26
2024-03,27
2024-04,43
2024-05,42
