Month,Anime Interest Over Time
2004-01,65
2004-02,58
2004-03,57
2004-04,58
2004-05,58
2004-06,60
2004-07,63
2004-08,57
2004-09,54
2004-10,58
2004-11,50
2004-12,55
2005-01,53
2005-02,54
2005-03,54
2005-04,54
2005-05,56
2005-06,57
2005-07,58
2005-08,53
2005-09,50
2005-10,51
2005-11,48
2005-12,48
2006-01,48
2006-02,46
2006-03,44
2006-04,47
2006-05,47
2006-06,50
2006-07,49
2006-08,46
2006-09,44
2006-10,43
2006-11,39
2006-12,44
2007-01,42
2007-02,42
2007-03,40
2007-04,43
2007-05,43
2007-06,48
2007-07,47
2007-08,45
2007-09,42
2007-10,40
2007-11,41
2007-12,45
2008-01,41
2008-02,41
2008-03,43
2008-04,43
2008-05,46
2008-06,45
2008-07,47
2008-08,42
2008-09,38
2008-10,40
2008-11,41
2008-12,42
2009-01,42
2009-02,39
2009-03,40
2009-04,42
2009-05,44
2009-06,45
2009-07,48
2009-08,46
2009-09,40
2009-10,40
2009-11,40
2009-12,42
2010-01,41
2010-02,39
2010-03,40
2010-04,44
2010-05,47
2010-06,46
2010-07,46
2010-08,44
2010-09,42
2010-10,40
2010-11,38
2010-12,38
2011-01,39
2011-02,37
2011-03,38
2011-04,39
2011-05,39
2011-06,41
2011-07,45
2011-08,42
2011-09,36
2011-10,38
2011-11,38
2011-12,38
2012-01,39
2012-02,38
2012-03,40
2012-04,39
2012-05,38
2012-06,44
2012-07,46
2012-08,40
2012-09,38
2012-10,40
2012-11,37
2012-12,42
2013-01,42
2013-02,41
2013-03,44
2013-04,46
2013-05,43
2013-06,49
2013-07,56
2013-08,51
2013-09,46
2013-10,47
2013-11,44
2013-12,49
2014-01,51
2014-02,46
2014-03,50
2014-04,50
2014-05,52
2014-06,58
2014-07,63
2014-08,57
2014-09,50
2014-10,51
2014-11,52
2014-12,54
2015-01,58
2015-02,51
2015-03,55
2015-04,57
2015-05,57
2015-06,57
2015-07,64
2015-08,59
2015-09,56
2015-10,54
2015-11,59
2015-12,62
2016-01,57
2016-02,54
2016-03,55
2016-04,55
2016-05,55
2016-06,60
2016-07,60
2016-08,51
2016-09,50
2016-10,51
2016-11,45
2016-12,53
2017-01,51
2017-02,52
2017-03,50
2017-04,55
2017-05,52
2017-06,52
2017-07,54
2017-08,49
2017-09,46
2017-10,46
2017-11,44
2017-12,48
2018-01,47
2018-02,50
2018-03,46
2018-04,47
2018-05,47
2018-06,47
2018-07,49
2018-08,47
2018-09,45
2018-10,46
2018-11,45
2018-12,49
2019-01,50
2019-02,47
2019-03,46
2019-04,46
2019-05,47
2019-06,50
2019-07,53
2019-08,49
2019-09,48
2019-10,47
2019-11,45
2019-12,48
2020-01,54
2020-02,52
2020-03,58
2020-04,64
2020-05,68
2020-06,73
2020-07,78
2020-08,85
2020-09,86
2020-10,81
2020-11,80
2020-12,90
2021-01,100
2021-02,92
2021-03,96
2021-04,94
2021-05,89
2021-06,94
2021-07,93
2021-08,82
2021-09,77
2021-10,77
2021-11,76
2021-12,74
2022-01,83
2022-02,71
2022-03,75
2022-04,81
2022-05,79
2022-06,74
2022-07,82
2022-08,71
2022-09,65
2022-10,70
2022-11,65
2022-12,69
2023-01,69
2023-02,63
2023-03,63
2023-04,68
2023-05,68
2023-06,64
2023-07,74
2023-08,65
2023-09,60
2023-10,63
2023-11,64
2023-12,61
2024-01,65
2024-02,67
2024-03,64
2024-04,62
2024-05,59
